SongName,AlbumName,AlbumLink,Year,PlayCount,Lyrics,SongLink,Duration
Big Time Sensuality - The Fluke Remix,Greatest Hits,https://open.spotify.com/album/7AUW3zs7IECZjVVks1tfb2,2002,2212100,"I can sense it
Something important
Is about to happen
It's coming up
It takes courage to enjoy it
The hardcore and the gentle big-time sensuality, oh and amazing
We just met
And I know I'm a bit too intimate
But something huge is coming up
And we're both included
It takes courage to enjoy it
The hardcore and the gentle big-time sensuality, oh-I
I don't know my future after this weekend
And I, and I don't want to
It takes courage to enjoy it
The hardcore and the gentle big-time sensuality, sensuality, oh-oh
It takes courage to enjoy it
The hardcore and the gentle big-time sensuality
It takes courage to enjoy it
The hardcore and the gentle big-time sensuality",https://open.spotify.com/track/3PzHWmYOlC5N1hRZR899R1,295
Black Lake,Vulnicura,https://open.spotify.com/album/1ttnHZ0HVGMSMTJdZZ7kYK,2015,3705895,"Our love was my womb but our bond has broken
My shield is gone, my protection is taken
I am one wound, my pulsating body
Suffering being
♪
My heart is enormous lake, black with potion
I am blind, drowning in this ocean
♪
My soul torn apart, my spirit is broken
Into the fabric of all, he is woven
♪
You fear my limitless emotions
I am bored of your apocalyptic obsessions
Did I love you too much? Devotion bent me broken
So I rebelled, destroyed the icon (icon)
♪
I did it for love, I honored my feelings
You betrayed your own heart, corrupted that organ
♪
Family was always our sacred mutual mission
Which you abandoned
♪
You have nothing to give, your heart is hollow
I am drowned in sorrows
No hope in sight of ever recover
Eternal pain and horrors
♪
I am a glowing shiny rocket
Returning home
As I enter the atmosphere
I burn off layer by layer",https://open.spotify.com/track/0rQBiEHF5bN4JtYvrBvjwH,608
Blissing Me,Utopia,https://open.spotify.com/album/037hz3oZyrgcJOheyhPMnC,2017,8277293,"All of my mouth was kissing him
Now, into the air, I am missing him
Is this excess texting a blessing?
Two music nerds obsessing
He reminds me of the love in me
I'm celebrating on a vibrancy
Sending each other MP3s
Falling in love to a song
This handsomest of wickermen
He asked if I could wait for him
Now, how many lightyears this interim
While I fall in love with his songs?
♪
His hands are good in protecting me
Touching and caressing me
But would it be trespassing
Wanting him to be blissing me
Robbing him of his youth?
♪
Cliffhanger-like suspension
My longing has formed its own skeleton
Bridging the gap between singletons
Sending each others these songs
The interior of these melodies
Is perhaps where we are meant to be
Our physical union a fantasy
(I just fell) I just fell in love with a song
So, I reserve my own intimacies
I bundle them up in packages
My rawward longing far too visceral
Did I just fall in love with love?",https://open.spotify.com/track/6oJyKKdsJjo6E8vqr0hC2B,305
Body Memory,Utopia,https://open.spotify.com/album/037hz3oZyrgcJOheyhPMnC,2017,3175065,"First snow of Winter
I'm walking hills and valleys
Adore this mystical fog!
This sfucking mist!
These cliffs are just showing off
Then the body memory kicks in
I mime my whole mountains
The moss that I'm made of
I redeem myself
I've been wrestling my fate
Do I accept this ending?
Will I accept my death?
Or struggle claustrophobic?
Fought like a wolverine
With my destiny
Refuse to accept what was meant to be
Then the body memory kicks in, and I trust the unknown
Unfathomable imagination
Surrender to future
Oh, how to capture all this love
And find a pathway for it
Like threading an ocean through a needle
Ribbon through a keyhole
Can't fathom the grasp
I can't grasp the fathom
Then the body memory kicks in
My limbs and tongue take over
Like the ancestors before me
Show me the flow
My sexual DNA
X-rays of my Kama Sutras
Summons different bodies
Compares spines and buttocks
And back of necks
Then my body memory kicks in
It simply takes over
Beastiality
I redeem my body
I wasn't born urban
Toxic doesn't agree with me
A love lured me here
Into a stagnant state
My myths, my customs, ridiculed
Vacuum-packed molecules
Then my body memory kicks in
On this Brooklyn dance floor
Sweating with these rhythms
Rotate this matrix
I'm trapped in legal harness
Kafka-esque, farce like patriarchy
Avoid it to confront it
Then the body memory kicks in
My warrior awakens
My turn to defend
Urban didn't tame me
Then my body memory kicks in
Bosoms and embraces
Oral, anal entrances
Enjoy the satisfaction
If the other is growing",https://open.spotify.com/track/5yGhCwFX6VOldPFh4Y21PK,586
Claimstaker,Utopia,https://open.spotify.com/album/037hz3oZyrgcJOheyhPMnC,2017,1801556,"I walk through this land
Stake a claim
♪
With my sense
With my bark
Mark my nest with song
Hear the echo from that cliff
I draw laser lines through lake
To take physicality inhale
I inhale this physicality
This forest is in me
This forest is in me
I immerse me
♪
This is my home",https://open.spotify.com/track/4gTcoj2rotUgK2NHOsQzsV,198
Cocoon,Cocoon,https://open.spotify.com/album/1juVUwm1peIrRwYNZHBUsw,2002,11599421,"Who would have known
That a boy like him
Would have entered me lightly
Restoring my blisses
Who would have known
That a boy like him
After sharing my core
Would stay going nowhere
Who would have known
♪
A beauty this immense
Who would have known
A saintly trance
Who would have known
Miraculous breath
To inhale a beard
Loaded with courage
Who would have known
That a boy like him
Possessed of magical
Sensitivity
Who would approach a girl like me
Who caresses cradles his head
In her bosom
♪
He slides inside
Half awake, half asleep
We faint back
Into sleephood
When I wake up
The second time
In his arms
Gorgeousness
He's still inside me
Who would have known
Who ahhh
Who would have known
A train of pearls
Cabin by cabin
Is shot precisely
Across an ocean
From a mouth
From a
From the mouth
Of a girl like me
To a boy
♪
To a boy
♪
To a boy",https://open.spotify.com/track/5GZwsru25lc0EBa5S8xTXQ,268
Come To Me - Black Dog Mix,The Best Mixes From The Album - Debut (For All The People Who Don't Buy White-Labels),https://open.spotify.com/album/5tXGUmCUQnBT3x6HKMv2Nj,1994,82391,"Come to me
I'll take care of you
Protect you
Calm, calm down
You're exhausted
Come lie down
You don't have to explain
I understand
You know
That I adore you
You know
That I love you
So don't make me say it
It would burst the bubble
Break the charm
Jump off
Your building's on fire
And I'll catch you
I'll catch you
Destroy all that is keeping you down
And then I'll nurse you
I'll nurse you
I'll protect you
You know
That I adore you
You know
That I love you
So don't make me say it
It would burst the bubble
Break the charm",https://open.spotify.com/track/7JrMM53otKMDaROT3wgyiR,305
Cosmogony - Matthew Herbert Instrumental mix 1,Cosmogony - Matthew Herbert Remixes,https://open.spotify.com/album/1x2CeP2eIjCNTo1zrDM9iJ,2011,49063,"Heaven
Heaven's bodies
Whirl around me
Make me wonder
And they say back then our universe
Was an empty sea, until a silver fox
And her cunning mate began to sing
A song that became the world we know
Heaven
Heaven's bodies
Whirl around me
Make me wonder
And they say back then our universe
Was a cold black egg, until the God inside
Burst out and from its shattered shell
He made what became the world we know
Heaven
Heaven's bodies
Whirl around me
Make me wonder
And they say back then our universe
Was an endless land, until our ancestors
Woke up and before they went back to sleep
They carved it up into the world we know
Heaven
Heaven's bodies
Whirl around me
Make me wonder
And they say back then our universe
Wasn't even there, until a sudden bang
And then there was light, was sound, was matter
And it all became the world we know
Heaven
Heaven's bodies
Whirl around me
And dance eternal",https://open.spotify.com/track/5Hyhp9aC2c5d7VozCj0KKX,305
Courtship,Utopia,https://open.spotify.com/album/037hz3oZyrgcJOheyhPMnC,2017,2329783,"He turned me down
I then downturned another
Who then downturned her
The paralyzing juice of rejection
His veins full of lead
He's left with loving what he lost
More than what he has
♪
My snake skin cold in the dark
But warms up in the light
I then upturned a green-eyed giant
Who upturned and entered me
Will we stop seeing what unites us
But only what differs?
Mm, the ghosts of old loves
Hovering around his orifices, his orifices
♪
As you narrate your own heart tale
You thread souls into one beam
The love you gave, and have been given
Weave into your own dream
I trust my cells to re-archive
My love historic stream",https://open.spotify.com/track/3BTFDG5WXYZtJmQIK5S3Xp,284
Cover Me - Cave Version,Army Of Me,https://open.spotify.com/album/0yaoVWBGXLr14Gm4A1bCHC,1995,380399,"While I crawl into the unknown
Cover me
I'm going hunting for mysteries
Cover me
I'm going to prove the impossible really exists
This is really dangerous
Cover me
But worth all the effort
Cover me
I'm going to prove the impossible really exists",https://open.spotify.com/track/7LtwIfxmOxHwXn44UfDCqM,187
Crystalline - Matthew Herbert Mix,The Crystalline Series - Crystalline Matthew Herbert Remixes,https://open.spotify.com/album/7EYtySQhIEQ7BcSeHmWPo7,2011,487560,"Underneath our feet
Crystals grow like plants
Listen how they grow
I'm blinded by the lights
Listen how they grow
In the core of the Earth
Listen how they glow
Crystalline
Internal nebula
Crystalline
Rocks growing slow but
Crystalline
I conquer claustrophobia
Crystalline
And demand the height
♪
We mimic the openness
Of the ones we love
Daft 'til our generosity
Equalizes the flow
With our hearts
We kiss our quartz
To reach love
Crystalline
Internal nebula
Crystalline
Rocks growing slow but
Crystalline
I conquer claustrophobia
Crystalline
And demand the lights
Octagon, polygon
Pipes up an organ
Sonic branches
Murmuring drone
Crystalizing galaxies
Spread out like my fingers
Crystalline
Internal nebula
Crystalline
Rocks growing slow, but
Crystalline
I conquer claustrophobia
Crystalline
And demand the lights
Crystalline
Internal nebula
Crystalline
Rocks growing slow, but
Crystalline
I conquer claustrophobia
Crystalline
And descand the
How low height
♪
It's the sparkle you become
When you conquer anxiety
It's the sparkle you become
When you conquer anxiety",https://open.spotify.com/track/1ZoEPbKkSvTgu6dDgy3Ta6,317
Declare Independence,Volta,https://open.spotify.com/album/363DbrhHnovVcrNKwS9qmj,2007,2543914,"Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
(Justice)
Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
(Justice)
Start your own currency
Make your own stamp
Protect your language
(Justice)
Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
Make your own flag
Make your own flag
Make your own flag
Make your own flag
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
(Damn colonists) damn colonists
Ignore their patronizing (ignore their patronizing)
Tear off their blindfolds (tear off their blindfolds)
Open their eyes
Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
With a flag and a trumpet
Go to the top
Of your highest mountain
And raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Raise your flag (higher, higher)
Declare independence
Don't let them do that to you
Declare independence
Don't let them do that to you
♪
Raise the flag",https://open.spotify.com/track/6k4bR9F6q9VXqbuo3zE9zu,253
Domestica,Pagan Poetry,https://open.spotify.com/album/4t4iAqOiWQpjxiKDHb56eZ,2001,424463,"Oh boy
Where have I put my keys
I've looked in my pocket
Behind the newspaper
And underneath the remote control
And I cannot find where I put it again
♪
Oh boy, I cannot find my keys
I'm far too late
The door is open now
A taxi is waiting there
Ah ah ah ah ah
Ah ah ah ah
And a phone keeps ringing
I'm definitely not going to
Pick it up
'Cause
When I grow up
I'm gonna get those fancy key-rings
That you whistle at
And they whistle right back
At you",https://open.spotify.com/track/45r7XddgDSbaWuG7J1N9rf,205
Dull Flame Of Desire - Mark Stent Album Mix,Dull Flame Of Desire,https://open.spotify.com/album/5ctG5DQvMR2Res7iymUbgZ,2008,2424131,"I love your eyes, my dear
Their splendid, sparkling fire
When suddenly you raise them so
To cast a swift embracing glance
Like lightning flashing in the sky
But there's a charm that is greater still
When my love's eyes are lowered
When all is fired by passion's kiss
And through the downcast lashes
I see the dull flame of desire
And through the downcast lashes
I see the dull flame of desire
I love your eyes, my dear
Their splendid, sparkling fire
When suddenly you raise them so
To cast a swift embracing glance
Like lightning flashing in the sky
But there's a charm that is greater still
When my love's eyes are lowered
When all is fired by passion's kiss
And through the downcast lashes
I see the dull flame of desire
And through the downcast lashes
I see the dull flame of desire
I see the dull flame
I see the dull flame
I love your eyes, my dear
Their splendid, sparkling fire
When suddenly you raise them so
To cast a swift embracing glance
Like lightning flashing in the sky
But there's a charm that is greater still
When my love's eyes are lowered
When all is fired by passion's kiss
And through the downcast lashes
I see the dull flame of desire
And through the downcast lashes
I see the dull flame of desire
I see the dull flame
I see the dull flame
I love your eyes, my dear
Their splendid, sparkling fire
When suddenly you raise them so
To cast a swift embracing glance
Like lightning flashing in the sky
But there's a charm that is greater still
When my love's eyes are lowered
When all is fired by passion's kiss
And through the downcast lashes
I see the dull flame of desire
And through the downcast lashes
I see the dull flame of desire
And through the downcast lashes
I see the dull flame of desire",https://open.spotify.com/track/3MtuGHowU3R7juwqP51Vyz,452
